Num_Samples,Function,Time
50,fl_dense_py_kernel_np_numba_array,0.078798
50,apricot_dense,1.186051
100,fl_dense_py_kernel_np_numba_array,0.073187
100,apricot_dense,1.188901
200,fl_dense_py_kernel_np_numba_array,0.078146
200,apricot_dense,1.17865
500,fl_dense_py_kernel_np_numba_array,0.100518
500,apricot_dense,1.189701
1000,fl_dense_py_kernel_np_numba_array,0.143073
1000,apricot_dense,1.274174
5000,fl_dense_py_kernel_np_numba_array,2.678934
5000,apricot_dense,2.32175
6000,fl_dense_py_kernel_np_numba_array,3.787688
6000,apricot_dense,2.713992
7000,fl_dense_py_kernel_np_numba_array,5.115019
7000,apricot_dense,3.063871
8000,fl_dense_py_kernel_np_numba_array,6.69107
8000,apricot_dense,3.592607
9000,fl_dense_py_kernel_np_numba_array,8.53918
9000,apricot_dense,4.234995
10000,fl_dense_py_kernel_np_numba_array,10.311701
10000,apricot_dense,4.882977
