Num_Samples,Function,Time
50,fl_dense_py_kernel_np_numba_array,0.072707
50,apricot_dense,1.183382
100,fl_dense_py_kernel_np_numba_array,0.066471
100,apricot_dense,1.193527
200,fl_dense_py_kernel_np_numba_array,0.076334
200,apricot_dense,1.167807
500,fl_dense_py_kernel_np_numba_array,0.092526
500,apricot_dense,1.241109
1000,fl_dense_py_kernel_np_numba_array,0.127995
1000,apricot_dense,1.288127
5000,fl_dense_py_kernel_np_numba_array,2.702766
5000,apricot_dense,2.332752
6000,fl_dense_py_kernel_np_numba_array,3.786399
6000,apricot_dense,2.668954
7000,fl_dense_py_kernel_np_numba_array,5.085149
7000,apricot_dense,3.14622
8000,fl_dense_py_kernel_np_numba_array,6.693968
8000,apricot_dense,3.668149
9000,fl_dense_py_kernel_np_numba_array,8.574505
9000,apricot_dense,4.266938
10000,fl_dense_py_kernel_np_numba_array,10.278105
10000,apricot_dense,4.937607
