Num_Samples,Function,Time
50,fl_dense_py_kernel_np_numba_array,0.069225
50,apricot_dense,1.158851
100,fl_dense_py_kernel_np_numba_array,0.07937
100,apricot_dense,1.165134
200,fl_dense_py_kernel_np_numba_array,0.076166
200,apricot_dense,1.161582
500,fl_dense_py_kernel_np_numba_array,0.090527
500,apricot_dense,1.233967
1000,fl_dense_py_kernel_np_numba_array,0.16017
1000,apricot_dense,1.27961
5000,fl_dense_py_kernel_np_numba_array,2.713902
5000,apricot_dense,2.263109
6000,fl_dense_py_kernel_np_numba_array,3.824183
6000,apricot_dense,2.719782
7000,fl_dense_py_kernel_np_numba_array,5.090856
7000,apricot_dense,3.130621
8000,fl_dense_py_kernel_np_numba_array,6.658366
8000,apricot_dense,3.630835
9000,fl_dense_py_kernel_np_numba_array,8.551271
9000,apricot_dense,4.264206
10000,fl_dense_py_kernel_np_numba_array,10.358174
10000,apricot_dense,4.772066
